"","months","years","AverageTone","Diction_Tone","Henry2006_Tone","Henry2008_Tone","LIWC_Tone","LM_Tone"
"99","March","2003",-0.120550971939556,-0.235298941328889,-0.0638714834755556,-0.0622620598488889,0.219431469328889,-0.460753844373333
"100","March","2004",-0.0843111601354839,-0.216497322741935,-0.0714932770215054,-0.0595992791290323,0.268124112075269,-0.342090033860215
"101","March","2005",-0.0934782442321429,-0.167805142401786,-0.0769455746875,-0.0654395489375,0.193103382776786,-0.350304337910714
"102","March","2006",-0.130058621230769,-0.178002007423077,-0.199039206838462,-0.192550171515385,0.306504563853846,-0.387206284230769
"103","March","2007",-0.120820296348092,-0.146041985717557,-0.179602548183206,-0.174765421534351,0.361765140763359,-0.465456667068702
"104","March","2008",-0.0458895954422018,-0.0851291954678899,-0.0489281904862385,-0.0431686516972477,0.343688487321101,-0.395910426880734
"105","March","2009",-0.114959245901322,-0.14256780945815,-0.111745655823789,-0.106697701537445,0.219860018409692,-0.433645081096916
"106","March","2010",-0.0848938848846154,-0.119765100978022,-0.0598722307142857,-0.0444831376648352,0.252891260065934,-0.453240215131868
"107","March","2011",-0.0830989464279793,-0.0811505252849741,0.00113188460103627,0.00994459468911917,0.15029764342487,-0.495718329569948
"108","March","2012",-0.115374026414634,-0.180268610981707,-0.0301839415792683,-0.0198223397073171,0.147566662981707,-0.494161902786585
"109","May","2000",-0.0968873157909091,-0.280158102079545,-0.0112380528409091,0.000106148227272725,0.267473259704545,-0.460619831965909
"110","May","2001",-0.0792224869284553,-0.177119980796748,-0.0208189681707317,-0.00556277704878049,0.269780440731707,-0.462391149357724
"111","May","2002",-0.121433831220183,-0.222035710527523,-0.0738818501055046,-0.0715706606651376,0.180867107683486,-0.420548042486239
"112","May","2003",-0.121782635985217,-0.248127067608696,-0.102970864386957,-0.10123473983913,0.258766245691304,-0.415346753782609
"113","May","2004",-0.08757570819375,-0.18264883239375,-0.10645770180625,-0.09315099043125,0.28878055756875,-0.34440157390625
"114","May","2005",-0.124588532889655,-0.143926669902299,-0.177653975293103,-0.167146113902299,0.309444228982759,-0.443660134333333
"115","May","2006",-0.106465976833149,-0.150409349447514,-0.115996409668508,-0.106801015314917,0.30988051901105,-0.469003628745856
"116","May","2007",-0.129285499911538,-0.124882818814103,-0.189378059410256,-0.18112608499359,0.412108821455128,-0.563149357794872
"117","May","2008",-0.108460225592271,-0.1345933347343,-0.188198359251208,-0.170752044198068,0.464594638294686,-0.513352028072464
"118","May","2009",-0.144349666315528,-0.221022579627329,-0.142111519931677,-0.136311264263975,0.306615989468944,-0.528918957223602
"119","May","2010",-0.12398440318069,-0.125053514965517,-0.126001598151724,-0.115288426641379,0.284100776834483,-0.53767925297931
"120","May","2011",-0.13920963314,-0.171453050271429,-0.150361681614286,-0.151883377609524,0.375122859361905,-0.597472915566667
"121","May","2012",-0.130028555754683,-0.177694701030211,-0.104869743570997,-0.0843317879033233,0.266611021818731,-0.549857568087613
"122","November","2000",-0.0704013988,-0.233869027053435,0.0254686791679389,0.0450188121755725,0.237872625664122,-0.426498083954198
"123","November","2001",-0.146860286000858,-0.285834923536481,-0.0730906893433476,-0.0640359291845494,0.164623549223176,-0.47596343716309
"124","November","2002",-0.0769382949891626,-0.239084679103448,0.0266990389064039,0.0356653021576355,0.197252162004926,-0.40522329891133
"125","November","2003",-0.0868708209383177,-0.176309693925234,-0.0724381298504673,-0.0628810528317757,0.222209239168224,-0.344934467252336
"126","November","2004",-0.107723112012587,-0.235046936587413,-0.0706829114195804,-0.0582017065524475,0.196813891874126,-0.371497897377622
"127","November","2005",-0.0860269728105882,-0.108949571352941,-0.0709791390705882,-0.0668379087705882,0.261052173211765,-0.444420418070588
"128","November","2006",-0.0678823897568182,-0.146662580602273,0.0293756571477273,0.0373034389772727,0.169366392159091,-0.428794856465909
"129","November","2007",-0.107718760084746,-0.090659548519774,-0.0682625544971752,-0.0413104404011299,0.179912360525424,-0.518273617531073
"130","November","2008",-0.15753266165,-0.141669687055147,-0.124839979319853,-0.113598172209559,0.156938605713235,-0.564494075378676
"131","November","2009",-0.0837247942117117,-0.168194912720721,-0.0339618189414414,-0.0335600105135135,0.229020878472973,-0.411928107355856
"132","November","2010",-0.0826514235880342,-0.111986504641026,-0.0542795127350427,-0.0418605152820513,0.222658115589744,-0.427788700871795
"133","November","2011",-0.100392012423392,-0.0681961756842105,-0.0613782168187135,-0.0553914167368421,0.184527894292398,-0.501522147169591
"134","November","2012",-0.122889709185311,-0.168175234028249,-0.0703442414124294,-0.0502539735819209,0.210777512932203,-0.536452609836158
"135","November","2014",-0.0222475516,-0.14893617,0.222222222,0.257142857,0.208333333,-0.65
"136","October","2000",-0.119094937326667,-0.20442510255,-0.0702477074333333,-0.0409532237333333,0.158656116283333,-0.4385047692
"137","October","2001",-0.1510736802,-0.212506218953947,-0.0905964536644737,-0.0857564280789474,0.086907902131579,-0.453417202434211
"138","October","2002",-0.162540397184772,-0.32161409335533,-0.10952819064467,-0.105237190436548,0.203318649989848,-0.479641161477157
"139","October","2003",-0.0660102733605839,-0.224896989029197,0.0402844249489051,0.0550301679489051,0.180855125277372,-0.381324095948905
"140","October","2004",-0.100297726899386,-0.170003792153374,-0.0564676013435583,-0.0481282399141104,0.168479545883436,-0.395368546969325
"141","October","2005",-0.136137318947518,-0.180367263659574,-0.124457093531915,-0.119458315106383,0.189114672340426,-0.445518594780142
"142","October","2006",-0.0877211570766917,-0.0876718988721805,-0.0571415172481203,-0.0425879005263158,0.220849653421053,-0.472054122157895
"143","October","2007",-0.0932517458041237,-0.186198253118557,-0.0343954389123711,-0.0245078145824742,0.20576406764433,-0.426921290051546
"144","October","2008",-0.15766031826566,-0.170626464362264,-0.0880226980301887,-0.0718556306,0.12285644729434,-0.580653245630189
"145","October","2009",-0.117467502248458,-0.159066892894273,-0.123222958171806,-0.123051998528634,0.24408028153304,-0.426075943180617
"146","October","2010",-0.0579351706883436,-0.0525770398650307,0.0117485189386503,0.0167860566257669,0.177715810233129,-0.443349199374233
"147","October","2011",-0.0932632198624339,-0.0956234402116402,-0.0466217733756614,-0.0385246198306878,0.186052629592593,-0.471598895486772
"148","October","2012",-0.11503279663787,-0.0622540296863905,-0.0874891914970414,-0.066162671739645,0.139233421846154,-0.498491512112426
"149","October","2013",0,0,0,0,0,0
"150","October","2014",0,0,0,0,0,0
"151","September","2000",-0.103612865060976,-0.208307079634146,0.00426756991463415,0.019756051097561,0.150143432585366,-0.483924299268293
"152","September","2001",-0.157209211448101,-0.226858278670886,-0.0774834982341772,-0.0775842289303797,0.102422438582278,-0.506542489987342
"153","September","2002",-0.106026880895484,-0.173116293251613,-0.0683783935354839,-0.074812133683871,0.174856797696774,-0.388684381703226
"154","September","2003",-0.0759679310205128,-0.158598071987179,-0.0165999515769231,-0.0118018706794872,0.204853582217949,-0.397693343076923
"155","September","2004",-0.0962087213894737,-0.159258658894737,0.00803703444078947,0.0179907477697368,0.107094284171053,-0.45490701443421
"156","September","2005",-0.111341877296667,-0.07409584455,-0.222687121966667,-0.214426468066667,0.452002475838889,-0.497502427738889
"157","September","2006",-0.0921895314539326,-0.146691926539326,-0.0366649954831461,-0.0260054953820225,0.27047336847191,-0.522058608337079
"158","September","2007",-0.10738670794878,-0.0987757071707317,-0.113741125878049,-0.0980553925121951,0.2260489325,-0.452410246682927
"159","September","2008",-0.134408951467164,-0.0857334575671642,-0.148697304097015,-0.130211223119403,0.260325532716418,-0.567728305268657
"160","September","2009",-0.0657877744089744,-0.12282132825,-0.052260710525641,-0.0457214184038462,0.285177523019231,-0.393312937884615
"161","September","2010",-0.1086176639264,-0.186976160216,-0.054352670488,-0.040902261136,0.16149077104,-0.422347998832
"162","September","2011",-0.119912507901796,-0.106461895532934,-0.0706278475868263,-0.0667524035868264,0.130907967377246,-0.486628360179641
"163","September","2012",-0.0747770033492958,0.019968295443662,-0.0757075260352113,-0.0666112393169014,0.276352203478873,-0.527886750316901
