"","Dates","GEReturns"
"153","2000-08-10",1.88162717994761
"154","2000-08-11",-0.770504637440526
"155","2000-08-14",0.770504637440518
"156","2000-08-15",0.437637459979878
"157","2000-08-16",-0.767127049665148
"158","2000-08-17",-0.220264406234218
"159","2000-08-18",-0.885941564351635
"160","2000-08-21",0.665190922830592
"161","2000-08-22",-0.554018037561536
"162","2000-08-23",2.95588022415444
"163","2000-08-24",1.71127170676023
"164","2000-08-25",0.528821962156438
"165","2000-08-28",1.25787822068602
"166","2000-08-29",-0.208550649102137
"167","2000-08-30",-4.04741079277746
"168","2000-08-31",1.93762789631387
"169","2000-09-01",-0.213447252863268
"170","2000-09-05",-1.18217389651668
"171","2000-09-06",2.03324286330755
"172","2000-09-07",0
"173","2000-09-08",1.47216118253599
"174","2000-09-11",-0.313643749013027
"175","2000-09-12",-1.05264129869875
"176","2000-09-13",0
"177","2000-09-14",-0.10587613482421
"178","2000-09-15",-3.88817875442074
"179","2000-09-18",1.31292914417928
"180","2000-09-19",-0.873367996875455
"181","2000-09-20",-0.660068403135202
"182","2000-09-21",-0.664454271866861
"183","2000-09-22",1.87127089321542
"184","2000-09-25",1.30012665573737
"185","2000-09-26",-0.107700602763795
"186","2000-09-27",2.44823297591898
"187","2000-09-28",-0.738789639988957
"188","2000-09-29",-2.03324286330755
"189","2000-10-02",1.1821738965167
"190","2000-10-03",0.956945101615067
"191","2000-10-04",-0.317965291737968
"192","2000-10-05",1.47526384750382
"193","2000-10-06",-0.524385050601104
"194","2000-10-09",-1.58985860677983
"195","2000-10-10",-0.75067376637535
"196","2000-10-11",-2.50694327708592
"197","2000-10-12",-3.82498821339997
"198","2000-10-13",4.48505661653517
"199","2000-10-16",1.30720815673527
"200","2000-10-17",-3.74906089154987
"201","2000-10-18",-0.224971973401544
"202","2000-10-19",0.224971973401555
"203","2000-10-20",-6.49880603674387
"204","2000-10-23",-4.66342165143638
"205","2000-10-24",7.03320079441869
"206","2000-10-25",-0.823049913651548
"207","2000-10-26",-1.54672922933076
"208","2000-10-27",0.239521072595485
"209","2000-10-30",3.29441557193541
"210","2000-10-31",1.49342235681274
"211","2000-11-01",-0.68650155196802
"212","2000-11-02",-1.38730548682474
"213","2000-11-03",-0.700937449257628
"214","2000-11-06",2.20298764173005
"215","2000-11-07",0.799547377619735
"216","2000-11-08",-0.684934184557478
"217","2000-11-09",0
"218","2000-11-10",-1.26802851759091
"219","2000-11-13",-4.62990699866232
"220","2000-11-14",2.51962939188873
"221","2000-11-15",-0.475060275859786
"222","2000-11-16",0.237812240496742
"223","2000-11-17",-1.43543134516832
"224","2000-11-20",-3.55647537222844
"225","2000-11-21",1.36393930933188
"226","2000-11-22",-4.40599897940305
"227","2000-11-24",1.65925950934196
"228","2000-11-27",-0.507615303186066
"229","2000-11-28",1.38978863610085
"230","2000-11-29",-0.251256413588316
"231","2000-11-30",-0.251889301948391
"232","2000-12-01",2.8591133329259
"233","2000-12-04",1.2180418556871
"234","2000-12-05",4.72901350414571
"235","2000-12-06",-0.347021747900722
"236","2000-12-07",-0.814431494168586
"237","2000-12-08",3.10548244622179
"238","2000-12-11",0.226244440396954
"239","2000-12-12",-4.62510176507557
"240","2000-12-13",0.354400843472933
"241","2000-12-14",-2.99244351148332
"242","2000-12-15",-3.21015218868548
"243","2000-12-18",2.3559676173892
"244","2000-12-19",-1.73057470975926
"245","2000-12-20",-5.51068304708846
"246","2000-12-21",0.918039234496139
"247","2000-12-22",2.06725708047199
"248","2000-12-26",0.891158030056315
"249","2000-12-27",-2.30779472825447
"250","2000-12-28",0.517465579001749
"251","2000-12-29",-1.03762279860909
"252","2001-01-02",-9.14064663238516
"253","2001-01-03",8.87954987831311
"254","2001-01-04",0.521513567910812
"255","2001-01-05",-1.57277160681952
"256","2001-01-08",-3.76895214287906
"257","2001-01-09",-2.07907696690738
"258","2001-01-10",0.139958035442326
"259","2001-01-11",4.11016756855518
"260","2001-01-12",-1.8970758629781
"261","2001-01-16",3.62699258925932
"262","2001-01-17",-1.46182005095544
"263","2001-01-18",1.9881370553829
"264","2001-01-19",-1.32102317368065
"265","2001-01-22",-2.69558099885282
"266","2001-01-23",2.02846711715057
"267","2001-01-24",-0.806455983673041
"268","2001-01-25",-0.813012608325018
"269","2001-01-26",-2.89875368732523
"270","2001-01-29",-0.550530006268318
